n,method,Loss_train_mean,Loss_test_mean,Gap_mean,Gap_std
8,SGD,0.17952180975018217,3.1834761918456054,3.0039543820954235,0.010804605982365956
8,SVRG,2.1108998831305586e-17,12.957238800173812,12.957238800173812,5.184667164540929e-10
7,GD,1.1750523395825689e-27,7.536786753076438,7.536786753076438,0.0
7,SGD,0.002467545565887882,6.8738307361238755,6.871363190557989,0.006245327449959826
7,SVRG,7.4547942493463905e-28,7.536786753076533,7.536786753076533,2.2287202979606116e-14
6,GD,1.3019163164541274e-27,1.276205392971631,1.276205392971631,0.0
6,SGD,0.00023303201343765736,1.2640163402377402,1.2637833082243024,0.00015598816832579278
6,SVRG,9.38361003161855e-28,1.276205392971639,1.276205392971639,6.35063097490511e-15
5,GD,4.627458070026455e-28,1.9163724993134403,1.9163724993134403,0.0
5,SGD,1.1974816753707807e-06,1.9146269476714586,1.9146257501897832,7.657620939571341e-05
5,SVRG,3.484398618361209e-28,1.916372499313443,1.916372499313443,3.913700198410874e-15
4,GD,1.206957184988148e-28,3.665738932189553,3.665738932189553,4.440892098500626e-16
4,SGD,1.310589216910208e-11,3.6657367628953907,3.665736762882285,5.824590823267494e-07
4,SVRG,9.489339305721088e-29,3.6657389321895404,3.6657389321895404,1.1938210511208514e-14
3,GD,1.0364136810002278e-28,2.7202445123340397,2.7202445123340397,4.440892098500626e-16
3,SGD,0.00023313815744595932,2.708113934736126,2.7078807965786797,0.00023018948117366035
3,SVRG,9.984005317267769e-29,2.720244512334013,2.720244512334013,9.318821705724373e-15
2,GD,4.7578173346142275e-30,24.00803739305768,24.00803739305768,3.552713678800501e-15
2,SGD,2.729171126526339e-26,24.00803739305881,24.00803739305881,7.85355999804421e-14
2,SVRG,2.350148113470931e-30,24.00803739305772,24.00803739305772,2.1996242600397777e-14
1,GD,1.262177448353619e-29,20.15308962329552,20.15308962329552,0.0
1,SGD,4.41370831914777e-25,20.153089623299213,20.153089623299213,0.0
1,SVRG,1.262177448353619e-29,20.153089623295536,20.153089623295536,0.0
